,States and selected areas:  Employment status,"of the civilian noninstitutional population, January 1976 to date,"
25270,"Massachusetts ...............     5,338,162","3,473,518      65.1     3,243,151      60.8      230,367      6.6"
25271,"Michigan ....................     7,782,292","4,663,599      59.9     4,236,729      54.4      426,870      9.2"
25272,"Minnesota ...................     4,175,872","2,939,742      70.4     2,773,408      66.4      166,334      5.7"
25273,"Mississippi .................     2,251,271","1,322,927      58.8     1,204,608      53.5      118,319      8.9"
25274,"Missouri ....................     4,664,160","3,023,540      64.8     2,810,596      60.3      212,944      7.0"
25275,"Montana .....................       789,148","504,977      64.0       474,093      60.1       30,884      6.1"
25276,"Nebraska ....................     1,408,149","1,012,540      71.9       971,999      69.0       40,541      4.0"
25277,"Nevada ......................     2,115,621","1,373,957      64.9     1,215,881      57.5      158,076     11.5"
25278,"New Hampshire ...............     1,066,526","739,195      69.3       699,024      65.5       40,171      5.4"
25279,"New Jersey ..................     6,940,947","4,584,234      66.0     4,153,426      59.8      430,808      9.4"
25280,"New Mexico ..................     1,590,949","926,402      58.2       860,239      54.1       66,163      7.1"
25281,"New York ....................    15,544,812","9,594,584      61.7     8,756,373      56.3      838,211      8.7"
25282,"New York city ............     6,679,094","4,016,670      60.1     3,630,440      54.4      386,230      9.6"
25283,"North Carolina ..............     7,483,141","4,659,384      62.3     4,223,431      56.4      435,953      9.4"
25284,"North Dakota ................       540,875","395,496      73.1       383,552      70.9       11,944      3.0"
25285,"Ohio ........................     9,014,129","5,707,355      63.3     5,283,236      58.6      424,119      7.4"
25286,"Oklahoma ....................     2,888,004","1,798,586      62.3     1,705,050      59.0       93,536      5.2"
25287,"Oregon ......................     3,090,749","1,967,875      63.7     1,791,931      58.0      175,944      8.9"
25288,"Pennsylvania ................    10,147,074","6,444,694      63.5     5,945,882      58.6      498,812      7.7"
25289,"Rhode Island ................       847,000","558,234      65.9       498,266      58.8       59,968     10.7"
25290,"South Carolina ..............     3,644,413","2,185,696      60.0     1,977,014      54.2      208,682      9.5"
25291,"South Dakota ................       629,766","441,843      70.2       422,801      67.1       19,042      4.3"
25292,"Tennessee ...................     5,008,732","3,094,396      61.8     2,851,425      56.9      242,971      7.9"
25293,"Texas .......................    19,253,257","12,621,391      65.6    11,749,382      61.0      872,009      6.9"
25294,"Utah ........................     2,017,465","1,366,813      67.7     1,290,232      64.0       76,581      5.6"
25295,"Vermont .....................       510,949","355,193      69.5       337,472      66.0       17,721      5.0"
25296,"Virginia ....................     6,302,622","4,219,059      66.9     3,958,783      62.8      260,276      6.2"
25297,"Washington ..................     5,365,292","3,477,069      64.8     3,183,933      59.3      293,136      8.4"
25298,"West Virginia ...............     1,487,347","807,745      54.3       747,982      50.3       59,763      7.4"
25299,"Wisconsin ...................     4,474,520","3,072,550      68.7     2,853,844      63.8      218,706      7.1"
25300,"Wyoming .....................       442,297","307,476      69.5       291,207      65.8       16,269      5.3"
25301,,
25302,,
25303,,May 2012
25304,,
25305,,
25306,"Alabama .....................     3,741,680","2,176,682      58.2     1,998,414      53.4      178,268      8.2"
25307,"Alaska ......................       534,230","365,425      68.4       339,189      63.5       26,236      7.2"
25308,"Arizona .....................     4,994,963","3,028,537      60.6     2,769,954      55.5      258,583      8.5"
25309,"Arkansas ....................     2,264,771","1,349,774      59.6     1,247,651      55.1      102,123      7.6"
25310,"California ..................    29,255,699","18,491,774      63.2    16,522,575      56.5    1,969,199     10.6"
25311,"Los Angeles County .......     7,802,723","4,905,694      62.9     4,359,584      55.9      546,110     11.1"
25312,"Colorado ....................     3,983,433","2,751,221      69.1     2,529,773      63.5      221,448      8.0"
25313,"Connecticut .................     2,842,957","1,890,828      66.5     1,731,589      60.9      159,239      8.4"
25314,"Delaware ....................       717,740","445,997      62.1       413,923      57.7       32,074      7.2"
25315,"District of Columbia ........       525,936","361,825      68.8       328,974      62.6       32,851      9.1"
25316,"Florida .....................    15,402,662","9,360,799      60.8     8,550,238      55.5      810,561      8.7"
25317,"Georgia .....................     7,464,436","4,788,509      64.2     4,339,280      58.1      449,229      9.4"
25318,"Hawaii ......................     1,064,250","646,905      60.8       606,172      57.0       40,733      6.3"
25319,"Idaho .......................     1,190,643","768,829      64.6       712,041      59.8       56,788      7.4"
25320,"Illinois ....................     9,986,725","6,571,517      65.8     5,980,993      59.9      590,524      9.0"
25321,"Indiana .....................     5,026,469","3,161,347      62.9     2,898,841      57.7      262,506      8.3"
25322,"Iowa ........................     2,386,700","1,651,738      69.2     1,568,358      65.7       83,380      5.0"
25323,"Kansas ......................     2,172,193","1,483,049      68.3     1,397,448      64.3       85,601      5.8"
25324,"Kentucky ....................     3,384,951","2,053,571      60.7     1,886,909      55.7      166,662      8.1"
25325,"Louisiana ...................     3,498,305","2,079,852      59.5     1,927,516      55.1      152,336      7.3"
25326,"Maine .......................     1,081,563","702,207      64.9       648,947      60.0       53,260      7.6"
25327,"Maryland ....................     4,594,422","3,114,818      67.8     2,896,228      63.0      218,590      7.0"
25328,"Massachusetts ...............     5,342,571","3,476,254      65.1     3,245,796      60.8      230,458      6.6"
25329,"Michigan ....................     7,784,862","4,663,931      59.9     4,235,014      54.4      428,917      9.2"
25330,"Minnesota ...................     4,178,528","2,940,579      70.4     2,774,614      66.4      165,965      5.6"
25331,"Mississippi .................     2,251,847","1,321,106      58.7     1,202,397      53.4      118,709      9.0"
25332,"Missouri ....................     4,665,795","3,021,371      64.8     2,810,192      60.2      211,179      7.0"
25333,"Montana .....................       789,683","505,872      64.1       475,038      60.2       30,834      6.1"
25334,"Nebraska ....................     1,409,096","1,013,516      71.9       973,082      69.1       40,434      4.0"
25335,"Nevada ......................     2,118,232","1,375,065      64.9     1,218,477      57.5      156,588     11.4"
25336,"New Hampshire ...............     1,067,234","739,978      69.3       699,439      65.5       40,539      5.5"
25337,"New Jersey ..................     6,942,925","4,585,463      66.0     4,151,747      59.8      433,716      9.5"
25338,"New Mexico ..................     1,591,562","925,588      58.2       860,026      54.0       65,562      7.1"
25339,"New York ....................    15,550,721","9,597,583      61.7     8,757,979      56.3      839,604      8.7"
25340,"New York city ............     6,684,543","4,019,209      60.1     3,634,066      54.4      385,143      9.6"
25341,"North Carolina ..............     7,490,370","4,663,979      62.3     4,227,719      56.4      436,260      9.4"
25342,"North Dakota ................       541,823","396,309      73.1       384,374      70.9       11,935      3.0"
25343,"Ohio ........................     9,015,583","5,703,147      63.3     5,281,931      58.6      421,216      7.4"
25344,"Oklahoma ....................     2,890,242","1,800,770      62.3     1,707,487      59.1       93,283      5.2"
25345,"Oregon ......................     3,093,084","1,962,194      63.4     1,787,555      57.8      174,639      8.9"
25346,"Pennsylvania ................    10,149,432","6,452,177      63.6     5,947,225      58.6      504,952      7.8"
25347,"Rhode Island ................       847,245","558,003      65.9       498,852      58.9       59,151     10.6"
25348,"South Carolina ..............     3,648,194","2,186,565      59.9     1,978,892      54.2      207,673      9.5"
25349,"South Dakota ................       630,456","442,106      70.1       422,989      67.1       19,117      4.3"
25350,"Tennessee ...................     5,012,482","3,096,056      61.8     2,850,683      56.9      245,373      7.9"
25351,"Texas .......................    19,282,391","12,634,585      65.5    11,766,133      61.0      868,452      6.9"
25352,"Utah ........................     2,020,264","1,369,443      67.8     1,293,997      64.1       75,446      5.5"
25353,"Vermont .....................       511,004","355,266      69.5       337,429      66.0       17,837      5.0"
25354,"Virginia ....................     6,309,192","4,215,862      66.8     3,955,951      62.7      259,911      6.2"
25355,"Washington ..................     5,371,150","3,476,271      64.7     3,184,854      59.3      291,417      8.4"
25356,"West Virginia ...............     1,487,369","808,536      54.4       747,879      50.3       60,657      7.5"
25357,"Wisconsin ...................     4,476,193","3,073,221      68.7     2,853,486      63.7      219,735      7.1"
25358,"Wyoming .....................       442,935","307,387      69.4       291,112      65.7       16,275      5.3"
25359,,
25360,,
25361,,June 2012
25362,,
25363,,
25364,"Alabama .....................     3,743,373","2,179,696      58.2     1,999,858      53.4      179,838      8.3"
25365,"Alaska ......................       534,762","365,279      68.3       339,191      63.4       26,088      7.1"
25366,"Arizona .....................     5,001,732","3,029,753      60.6     2,773,665      55.5      256,088      8.5"
25367,"Arkansas ....................     2,265,732","1,345,970      59.4     1,244,049      54.9      101,921      7.6"
25368,"California ..................    29,284,294","18,506,306      63.2    16,558,495      56.5    1,947,811     10.5"
25369,"Los Angeles County .......     7,809,234","4,907,600      62.8     4,367,556      55.9      540,044     11.0"
25370,"Colorado ....................     3,989,164","2,753,000      69.0     2,532,746      63.5      220,254      8.0"
25371,"Connecticut .................     2,844,323","1,887,726      66.4     1,727,535      60.7      160,191      8.5"
25372,"Delaware ....................       718,373","445,764      62.1       413,567      57.6       32,197      7.2"
25373,"District of Columbia ........       526,807","363,859      69.1       331,365      62.9       32,494      8.9"
25374,"Florida .....................    15,421,476","9,373,314      60.8     8,567,330      55.6      805,984      8.6"
25375,"Georgia .....................     7,473,044","4,788,789      64.1     4,344,755      58.1      444,034      9.3"
25376,"Hawaii ......................     1,065,068","646,109      60.7       606,476      56.9       39,633      6.1"
25377,"Idaho .......................     1,191,863","769,041      64.5       712,968      59.8       56,073      7.3"
25378,"Illinois ....................     9,990,304","6,577,714      65.8     5,984,744      59.9      592,970      9.0"
25379,"Indiana .....................     5,028,917","3,159,779      62.8     2,897,215      57.6      262,564      8.3"
25380,"Iowa ........................     2,387,833","1,651,144      69.1     1,567,733      65.7       83,411      5.1"
25381,"Kansas ......................     2,173,337","1,482,687      68.2     1,397,941      64.3       84,746      5.7"
25382,"Kentucky ....................     3,386,348","2,057,239      60.8     1,889,104      55.8      168,135      8.2"
25383,"Louisiana ...................     3,500,158","2,080,624      59.4     1,930,777      55.2      149,847      7.2"
25384,"Maine .......................     1,081,794","702,345      64.9       649,410      60.0       52,935      7.5"
25385,"Maryland ....................     4,598,395","3,116,856      67.8     2,898,073      63.0      218,783      7.0"
25386,"Massachusetts ...............     5,347,338","3,480,397      65.1     3,249,583      60.8      230,814      6.6"
25387,"Michigan ....................     7,787,926","4,665,410      59.9     4,235,749      54.4      429,661      9.2"
25388,"Minnesota ...................     4,181,461","2,942,474      70.4     2,776,729      66.4      165,745      5.6"
25389,"Mississippi .................     2,252,502","1,319,609      58.6     1,200,361      53.3      119,248      9.0"
25390,"Missouri ....................     4,667,654","3,020,302      64.7     2,811,126      60.2      209,176      6.9"
25391,"Montana .....................       790,225","506,766      64.1       476,037      60.2       30,729      6.1"
25392,"Nebraska ....................     1,410,067","1,014,563      72.0       974,158      69.1       40,405      4.0"
25393,"Nevada ......................     2,121,006","1,376,318      64.9     1,221,283      57.6      155,035     11.3"
25394,"New Hampshire ...............     1,068,025","740,968      69.4       700,079      65.5       40,889      5.5"
25395,"New Jersey ..................     6,945,410","4,586,476      66.0     4,152,120      59.8      434,356      9.5"
25396,"New Mexico ..................     1,592,248","925,359      58.1       860,128      54.0       65,231      7.0"
25397,"New York ....................    15,557,724","9,602,266      61.7     8,765,976      56.3      836,290      8.7"
25398,"New York city ............     6,689,995","4,021,283      60.1     3,639,238      54.4      382,045      9.5"
25399,"North Carolina ..............     7,497,556","4,670,723      62.3     4,234,462      56.5      436,261      9.3"
25400,"North Dakota ................       542,714","397,207      73.2       385,218      71.0       11,989      3.0"
25401,"Ohio ........................     9,017,678","5,699,647      63.2     5,281,583      58.6      418,064      7.3"
25402,"Oklahoma ....................     2,892,606","1,803,132      62.3     1,709,691      59.1       93,441      5.2"
25403,"Oregon ......................     3,095,694","1,956,474      63.2     1,783,319      57.6      173,155      8.9"
25404,"Pennsylvania ................    10,152,416","6,461,050      63.6     5,950,592      58.6      510,458      7.9"
25405,"Rhode Island ................       847,603","557,986      65.8       499,563      58.9       58,423     10.5"
25406,"South Carolina ..............     3,652,020","2,186,785      59.9     1,981,245      54.3      205,540      9.4"
25407,"South Dakota ................       631,184","442,401      70.1       423,183      67.0       19,218      4.3"
25408,"Tennessee ...................     5,016,485","3,099,123      61.8     2,852,564      56.9      246,559      8.0"
25409,"Texas .......................    19,312,610","12,651,081      65.5    11,789,580      61.0      861,501      6.8"
25410,"Utah ........................     2,023,189","1,371,758      67.8     1,297,527      64.1       74,231      5.4"
25411,"Vermont .....................       511,043","355,347      69.5       337,423      66.0       17,924      5.0"
25412,"Virginia ....................     6,315,748","4,214,807      66.7     3,955,826      62.6      258,981      6.1"
25413,"Washington ..................     5,377,205","3,474,422      64.6     3,185,871      59.2      288,551      8.3"
25414,"West Virginia ...............     1,487,492","809,176      54.4       747,721      50.3       61,455      7.6"
25415,"Wisconsin ...................     4,478,172","3,073,578      68.6     2,853,821      63.7      219,757      7.1"
25416,"Wyoming .....................       443,627","307,332      69.3       290,981      65.6       16,351      5.3"
25417,,
25418,,
25419,,July 2012
25420,,
25421,,
25422,"Alabama .....................     3,745,164","2,181,117      58.2     2,002,056      53.5      179,061      8.2"
25423,"Alaska ......................       535,312","365,206      68.2       339,296      63.4       25,910      7.1"
25424,"Arizona .....................     5,008,636","3,030,883      60.5     2,778,294      55.5      252,589      8.3"
25425,"Arkansas ....................     2,266,756","1,341,588      59.2     1,239,998      54.7      101,590      7.6"
25426,"California ..................    29,312,874","18,522,031      63.2    16,602,505      56.6    1,919,526     10.4"
25427,"Los Angeles County .......     7,815,780","4,910,341      62.8     4,377,320      56.0      533,021     10.9"
25428,"Colorado ....................     3,995,066","2,755,737      69.0     2,537,362      63.5      218,375      7.9"
25429,"Connecticut .................     2,845,712","1,885,184      66.2     1,724,752      60.6      160,432      8.5"
25430,"Delaware ....................       719,006","445,538      62.0       413,259      57.5       32,279      7.2"
25431,"District of Columbia ........       527,739","366,001      69.4       333,727      63.2       32,274      8.8"
25432,"Florida .....................    15,440,684","9,387,003      60.8     8,589,132      55.6      797,871      8.5"
25433,"Georgia .....................     7,481,320","4,788,888      64.0     4,351,369      58.2      437,519      9.1"
25434,"Hawaii ......................     1,065,826","645,600      60.6       607,153      57.0       38,447      6.0"
25435,"Idaho .......................     1,193,069","769,362      64.5       714,058      59.9       55,304      7.2"
25436,"Illinois ....................     9,993,652","6,584,040      65.9     5,991,553      60.0      592,487      9.0"
25437,"Indiana .....................     5,031,471","3,160,387      62.8     2,898,371      57.6      262,016      8.3"
25438,"Iowa ........................     2,389,033","1,651,019      69.1     1,567,718      65.6       83,301      5.0"
25439,"Kansas ......................     2,174,549","1,482,906      68.2     1,399,007      64.3       83,899      5.7"
25440,"Kentucky ....................     3,387,909","2,061,007      60.8     1,891,934      55.8      169,073      8.2"
25441,"Louisiana ...................     3,502,125","2,080,660      59.4     1,934,486      55.2      146,174      7.0"
25442,"Maine .......................     1,082,052","702,503      64.9       649,989      60.1       52,514      7.5"
25443,"Maryland ....................     4,602,527","3,119,340      67.8     2,900,954      63.0      218,386      7.0"
25444,"Massachusetts ...............     5,352,265","3,485,409      65.1     3,254,117      60.8      231,292      6.6"
25445,"Michigan ....................     7,791,233","4,667,492      59.9     4,239,436      54.4      428,056      9.2"
25446,"Minnesota ...................     4,184,495","2,945,136      70.4     2,779,732      66.4      165,404      5.6"
25447,"Mississippi .................     2,253,162","1,317,728      58.5     1,198,413      53.2      119,315      9.1"
25448,"Missouri ....................     4,669,546","3,020,759      64.7     2,813,834      60.3      206,925      6.9"
25449,"Montana .....................       790,793","507,498      64.2       476,991      60.3       30,507      6.0"
25450,"Nebraska ....................     1,411,103","1,015,617      72.0       975,232      69.1       40,385      4.0"
25451,"Nevada ......................     2,123,815","1,377,379      64.9     1,224,257      57.6      153,122     11.1"
25452,"New Hampshire ...............     1,068,833","741,974      69.4       700,822      65.6       41,152      5.5"
25453,"New Jersey ..................     6,948,101","4,587,732      66.0     4,154,797      59.8      432,935      9.4"
25454,"New Mexico ..................     1,593,045","925,878      58.1       860,752      54.0       65,126      7.0"
25455,"New York ....................    15,565,226","9,608,455      61.7     8,780,838      56.4      827,617      8.6"
25456,"New York city ............     6,695,460","4,022,381      60.1     3,645,566      54.4      376,815      9.4"
25457,"North Carolina ..............     7,504,963","4,679,032      62.3     4,243,930      56.5      435,102      9.3"
25458,"North Dakota ................       543,637","398,143      73.2       386,061      71.0       12,082      3.0"
25459,"Ohio ........................     9,019,953","5,696,911      63.2     5,282,661      58.6      414,250      7.3"
25460,"Oklahoma ....................     2,894,906","1,805,752      62.4     1,712,096      59.1       93,656      5.2"
25461,"Oregon ......................     3,098,338","1,950,606      63.0     1,779,137      57.4      171,469      8.8"
25462,"Pennsylvania ................    10,155,768","6,469,778      63.7     5,956,532      58.7      513,246      7.9"
25463,"Rhode Island ................       847,935","558,147      65.8       500,419      59.0       57,728     10.3"
25464,"South Carolina ..............     3,655,350","2,186,911      59.8     1,984,885      54.3      202,026      9.2"
25465,"South Dakota ................       631,898","442,705      70.1       423,437      67.0       19,268      4.4"
25466,"Tennessee ...................     5,020,650","3,101,941      61.8     2,856,431      56.9      245,510      7.9"
25467,"Texas .......................    19,342,911","12,670,049      65.5    11,820,135      61.1      849,914      6.7"
25468,"Utah ........................     2,026,141","1,373,996      67.8     1,300,979      64.2       73,017      5.3"
25469,"Vermont .....................       511,110","355,337      69.5       337,423      66.0       17,914      5.0"
25470,"Virginia ....................     6,322,398","4,216,026      66.7     3,959,188      62.6      256,838      6.1"
25471,"Washington ..................     5,383,342","3,472,005      64.5     3,188,024      59.2      283,981      8.2"
25472,"West Virginia ...............     1,487,666","809,458      54.4       747,538      50.2       61,920      7.6"
25473,"Wisconsin ...................     4,480,235","3,073,583      68.6     2,855,276      63.7      218,307      7.1"
25474,"Wyoming .....................       444,288","307,263      69.2       290,838      65.5       16,425      5.3"
25475,,
25476,,
25477,,August 2012
25478,,
25479,,
25480,"Alabama .....................     3,747,271","2,181,066      58.2     2,004,772      53.5      176,294      8.1"
25481,"Alaska ......................       535,603","365,197      68.2       339,480      63.4       25,717      7.0"
25482,"Arizona .....................     5,015,672","3,031,732      60.4     2,783,077      55.5      248,655      8.2"
25483,"Arkansas ....................     2,267,826","1,336,800      58.9     1,235,720      54.5      101,080      7.6"
25484,"California ..................    29,343,333","18,540,096      63.2    16,651,465      56.7    1,888,631     10.2"
25485,"Los Angeles County .......     7,821,770","4,914,661      62.8     4,388,607      56.1      526,054     10.7"
25486,"Colorado ....................     4,001,324","2,759,167      69.0     2,543,095      63.6      216,072      7.8"
25487,"Connecticut .................     2,846,922","1,883,167      66.1     1,723,301      60.5      159,866      8.5"
25488,"Delaware ....................       719,760","445,340      61.9       413,013      57.4       32,327      7.3"
25489,"District of Columbia ........       528,733","368,205      69.6       335,978      63.5       32,227      8.8"
25490,"Florida .....................    15,462,018","9,401,895      60.8     8,614,461      55.7      787,434      8.4"
25491,"Georgia .....................     7,488,012","4,789,528      64.0     4,358,490      58.2      431,038      9.0"
25492,"Hawaii ......................     1,066,536","645,340      60.5       608,092      57.0       37,248      5.8"
25493,"Idaho .......................     1,194,477","769,680      64.4       715,187      59.9       54,493      7.1"
25494,"Illinois ....................     9,997,488","6,590,143      65.9     5,999,586      60.0      590,557      9.0"
25495,"Indiana .....................     5,034,830","3,163,069      62.8     2,901,505      57.6      261,564      8.3"
25496,"Iowa ........................     2,390,647","1,651,397      69.1     1,568,392      65.6       83,005      5.0"
25497,"Kansas ......................     2,175,450","1,483,901      68.2     1,400,598      64.4       83,303      5.6"
25498,"Kentucky ....................     3,390,171","2,064,542      60.9     1,895,210      55.9      169,332      8.2"
25499,"Louisiana ...................     3,504,433","2,080,892      59.4     1,938,467      55.3      142,425      6.8"
25500,"Maine .......................     1,082,400","702,735      64.9       650,687      60.1       52,048      7.4"
25501,"Maryland ....................     4,606,073","3,122,375      67.8     2,904,721      63.1      217,654      7.0"
25502,"Massachusetts ...............     5,357,516","3,490,901      65.2     3,258,848      60.8      232,053      6.6"
25503,"Michigan ....................     7,795,108","4,670,977      59.9     4,245,751      54.5      425,226      9.1"
25504,"Minnesota ...................     4,187,872","2,948,475      70.4     2,783,485      66.5      164,990      5.6"
25505,"Mississippi .................     2,254,264","1,315,097      58.3     1,196,279      53.1      118,818      9.0"
25506,"Missouri ....................     4,671,677","3,023,006      64.7     2,817,607      60.3      205,399      6.8"
25507,"Montana .....................       791,581","507,991      64.2       477,822      60.4       30,169      5.9"
25508,"Nebraska ....................     1,412,065","1,016,654      72.0       976,300      69.1       40,354      4.0"
25509,"Nevada ......................     2,126,612","1,378,208      64.8     1,227,229      57.7      150,979     11.0"
25510,"New Hampshire ...............     1,069,446","742,776      69.5       701,475      65.6       41,301      5.6"
25511,"New Jersey ..................     6,951,164","4,590,156      66.0     4,159,373      59.8      430,783      9.4"
25512,"New Mexico ..................     1,593,933","927,017      58.2       861,828      54.1       65,189      7.0"
25513,"New York ....................    15,573,569","9,617,913      61.8     8,801,370      56.5      816,543      8.5"
25514,"New York city ............     6,699,170","4,024,144      60.1     3,652,899      54.5      371,245      9.2"
25515,"North Carolina ..............     7,513,124","4,688,766      62.4     4,255,583      56.6      433,183      9.2"
25516,"North Dakota ................       544,931","399,078      73.2       386,881      71.0       12,197      3.1"
25517,"Ohio ........................     9,024,335","5,696,245      63.1     5,284,952      58.6      411,293      7.2"
25518,"Oklahoma ....................     2,897,403","1,808,483      62.4     1,714,606      59.2       93,877      5.2"
25519,"Oregon ......................     3,100,928","1,944,745      62.7     1,774,907      57.2      169,838      8.7"
25520,"Pennsylvania ................    10,158,969","6,478,052      63.8     5,964,269      58.7      513,783      7.9"
25521,"Rhode Island ................       848,233","558,414      65.8       501,417      59.1       56,997     10.2"
25522,"South Carolina ..............     3,659,367","2,187,515      59.8     1,989,646      54.4      197,869      9.0"
25523,"South Dakota ................       632,523","442,971      70.0       423,775      67.0       19,196      4.3"
25524,"Tennessee ...................     5,024,775","3,104,165      61.8     2,861,135      56.9      243,030      7.8"
25525,"Texas .......................    19,373,886","12,691,669      65.5    11,854,807      61.2      836,862      6.6"
25526,"Utah ........................     2,029,458","1,376,447      67.8     1,304,435      64.3       72,012      5.2"
25527,"Vermont .....................       511,281","355,150      69.5       337,388      66.0       17,762      5.0"
25528,"Virginia ....................     6,327,790","4,219,676      66.7     3,965,800      62.7      253,876      6.0"
25529,"Washington ..................     5,388,477","3,469,717      64.4     3,191,534      59.2      278,183      8.0"
25530,"West Virginia ...............     1,487,729","809,418      54.4       747,379      50.2       62,039      7.7"
25531,"Wisconsin ...................     4,482,795","3,073,682      68.6     2,857,759      63.7      215,923      7.0"
25532,"Wyoming .....................       444,701","307,166      69.1       290,725      65.4       16,441      5.4"
25533,,
25534,,
25535,,September 2012
25536,,
25537,,
25538,"Alabama .....................     3,749,519","2,180,876      58.2     2,008,050      53.6      172,826      7.9"
25539,"Alaska ......................       535,748","365,256      68.2       339,678      63.4       25,578      7.0"
25540,"Arizona .....................     5,022,881","3,032,171      60.4     2,787,112      55.5      245,059      8.1"
25541,"Arkansas ....................     2,268,979","1,332,413      58.7     1,231,885      54.3      100,528      7.5"
25542,"California ..................    29,374,946","18,563,262      63.2    16,702,042      56.9    1,861,220     10.0"
25543,"Los Angeles County .......     7,827,792","4,921,368      62.9     4,400,770      56.2      520,598     10.6"
25544,"Colorado ....................     4,007,655","2,763,026      68.9     2,549,191      63.6      213,835      7.7"
25545,"Connecticut .................     2,848,249","1,881,296      66.1     1,722,549      60.5      158,747      8.4"
25546,"Delaware ....................       720,606","445,164      61.8       412,814      57.3       32,350      7.3"
25547,"District of Columbia ........       529,725","370,337      69.9       338,011      63.8       32,326      8.7"
25548,"Florida .....................    15,483,824","9,418,399      60.8     8,640,972      55.8      777,427      8.3"
25549,"Georgia .....................     7,494,823","4,791,180      63.9     4,365,122      58.2      426,058      8.9"
25550,"Hawaii ......................     1,067,119","645,309      60.5       609,187      57.1       36,122      5.6"
25551,"Idaho .......................     1,195,905","769,874      64.4       716,258      59.9       53,616      7.0"
25552,"Illinois ....................    10,001,748","6,596,052      65.9     6,006,010      60.0      590,042      8.9"
25553,"Indiana .....................     5,038,393","3,167,606      62.9     2,905,442      57.7      262,164      8.3"
25554,"Iowa ........................     2,392,445","1,652,163      69.1     1,569,562      65.6       82,601      5.0"
25555,"Kansas ......................     2,176,354","1,485,494      68.3     1,402,370      64.4       83,124      5.6"
25556,"Kentucky ....................     3,392,522","2,067,604      60.9     1,898,510      56.0      169,094      8.2"
25557,"Louisiana ...................     3,506,794","2,082,392      59.4     1,942,392      55.4      140,000      6.7"
25558,"Maine .......................     1,082,757","703,085      64.9       651,471      60.2       51,614      7.3"
25559,"Maryland ....................     4,609,737","3,125,936      67.8     2,908,979      63.1      216,957      6.9"
25560,"Massachusetts ...............     5,363,050","3,496,582      65.2     3,263,317      60.8      233,265      6.7"
25561,"Michigan ....................     7,799,315","4,677,098      60.0     4,253,618      54.5      423,480      9.1"
25562,"Minnesota ...................     4,191,415","2,952,420      70.4     2,787,876      66.5      164,544      5.6"
25563,"Mississippi .................     2,255,378","1,311,692      58.2     1,193,750      52.9      117,942      9.0"
25564,"Missouri ....................     4,673,909","3,026,333      64.7     2,820,827      60.4      205,506      6.8"
25565,"Montana .....................       792,421","508,298      64.1       478,528      60.4       29,770      5.9"
25566,"Nebraska ....................     1,413,059","1,017,753      72.0       977,347      69.2       40,406      4.0"
25567,"Nevada ......................     2,129,426","1,378,948      64.8     1,229,993      57.8      148,955     10.8"
25568,"New Hampshire ...............     1,070,105","743,229      69.5       701,908      65.6       41,321      5.6"
25569,"New Jersey ..................     6,954,574","4,594,086      66.1     4,164,815      59.9      429,271      9.3"
25570,"New Mexico ..................     1,594,837","928,458      58.2       863,079      54.1       65,379      7.0"
25571,"New York ....................    15,582,569","9,631,758      61.8     8,824,815      56.6      806,943      8.4"
25572,"New York city ............     6,702,926","4,028,481      60.1     3,661,158      54.6      367,323      9.1"
25573,"North Carolina ..............     7,521,179","4,699,769      62.5     4,268,377      56.8      431,392      9.2"
25574,"North Dakota ................       546,253","399,994      73.2       387,687      71.0       12,307      3.1"
25575,"Ohio ........................     9,029,075","5,699,086      63.1     5,287,654      58.6      411,432      7.2"
25576,"Oklahoma ....................     2,899,969","1,810,949      62.4     1,716,687      59.2       94,262      5.2"
25577,"Oregon ......................     3,103,686","1,939,239      62.5     1,770,720      57.1      168,519      8.7"
25578,"Pennsylvania ................    10,162,667","6,486,259      63.8     5,972,524      58.8      513,735      7.9"
25579,"Rhode Island ................       848,529","558,651      65.8       502,462      59.2       56,189     10.1"
25580,"South Carolina ..............     3,663,499","2,188,492      59.7     1,994,465      54.4      194,027      8.9"
25581,"South Dakota ................       633,197","443,188      70.0       424,200      67.0       18,988      4.3"
25582,"Tennessee ...................     5,029,039","3,106,102      61.8     2,865,405      57.0      240,697      7.7"
25583,"Texas .......................    19,405,507","12,715,945      65.5    11,888,879      61.3      827,066      6.5"
25584,"Utah ........................     2,032,896","1,379,310      67.8     1,307,993      64.3       71,317      5.2"
25585,"Vermont .....................       511,466","354,731      69.4       337,260      65.9       17,471      4.9"
25586,"Virginia ....................     6,333,089","4,225,316      66.7     3,974,214      62.8      251,102      5.9"
25587,"Washington ..................     5,393,744","3,468,162      64.3     3,196,070      59.3      272,092      7.8"
25588,"West Virginia ...............     1,487,877","809,186      54.4       747,295      50.2       61,891      7.6"
25589,"Wisconsin ...................     4,485,590","3,074,429      68.5     2,860,850      63.8      213,579      6.9"
25590,"Wyoming .....................       445,149","307,068      69.0       290,689      65.3       16,379      5.3"
25591,,
25592,,
25593,,October 2012
25594,,
25595,,
25596,"Alabama .....................     3,751,647","2,181,018      58.1     2,011,534      53.6      169,484      7.8"
25597,"Alaska ......................       535,986","365,327      68.2       339,822      63.4       25,505      7.0"
25598,"Arizona .....................     5,029,878","3,031,497      60.3     2,789,222      55.5      242,275      8.0"
25599,"Arkansas ....................     2,270,028","1,328,909      58.5     1,228,964      54.1       99,945      7.5"
25600,"California ..................    29,405,191","18,586,398      63.2    16,748,317      57.0    1,838,081      9.9"
